Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Attrited Customer,55.62196990497934,F,1,College,Married,Less than $40K,Blue,36,6,9,3,1575.9975494433897,0,3052.0,0.868,746.2836525419754,27.0,0.469,0.0
Existing Customer,44.378198403767506,M,0,Uneducated,Married,Less than $40K,Blue,24,5,6,0,3309.326085357353,2103,6734.0,0.559,1438.6207369908195,30.0,0.875,0.238
Attrited Customer,59.95211069090605,M,3,College,Unknown,$120K +,Blue,47,5,10,3,2194.3632231629913,1972,3147.0,0.835,2050.5134508614774,37.0,0.956,0.385
Attrited Customer,61.04669888094635,F,1,Unknown,Married,$40K - $60K,Blue,39,3,7,1,607.1071482047557,635,803.3,0.744,1874.3168372244688,32.0,0.927,0.441
Existing Customer,67.44953999905526,M,2,Uneducated,Single,$120K +,Blue,35,1,6,2,20237.882268882397,1068,33448.0,0.966,7714.7039384208265,49.0,0.809,0.031
Attrited Customer,60.280278016642896,F,1,Graduate,Single,Less than $40K,Blue,47,3,7,4,570.2750180826827,625,1217.0,0.729,690.1260786702937,17.0,0.483,0.339
Attrited Customer,62.428695353098064,F,3,Uneducated,Married,Less than $40K,Blue,33,4,10,2,1116.303801505268,890,2100.0,0.711,2124.965516722968,34.0,0.837,0.298
Existing Customer,51.5888213710261,F,5,Uneducated,Single,,Blue,36,1,9,1,3428.683651622943,1163,6579.0,0.729,3964.612304555019,44.0,0.852,0.15
Existing Customer,39.70467088864017,M,0,Unknown_Education,Married,$80K - $120K,Blue,36,2,6,3,9887.098053446633,1607,31184.0,0.752,5125.427001670773,63.0,0.738,0.049
Attrited Customer,51.427912969023666,F,1,Uneducated,Married,Less than $40K,Blue,28,5,7,3,,0,3680.0,0.729,727.0096578878236,14.0,0.577,0.0
Existing Customer,54.06271898003018,M,4,High School,Married,$60K - $80K,Blue,29,3,8,2,1504.4172264117226,0,4573.0,0.703,857.2585077796857,22.0,0.944,0.0
Existing Customer,40.10477601687023,M,3,Post-Graduate,Single,$80K - $120K,Silver,29,5,7,2,12054.682007524594,1872,32644.0,1.068,562.5099325933548,25.0,1.103,0.054
Existing Customer,53.22977335128313,F,3,Graduate,Divorced,Less than $40K,Blue,36,4,6,3,,1595,6526.0,0.743,918.2915562702298,27.0,0.5,0.196
Attrited Customer,52.57379234676319,F,1,Unknown,Married,Less than $40K,Blue,20,2,8,3,516.7664239337408,580,1041.0,0.421,749.7113985283504,18.0,0.171,0.358
Existing Customer,61.986498532975055,F,2,Graduate,Married,Less than $40K,Blue,40,5,8,3,772.6198950650413,1287,1194.0,0.465,705.6396341923506,30.0,0.821,0.519
Existing Customer,47.38041309433851,F,3,Graduate,Married,Less than $40K,Blue,27,6,4,2,834.341147352725,1085,1049.0,0.656,1544.507371780462,31.0,1.027,0.508
Existing Customer,51.27342175905036,M,4,College,Married,$80K - $120K,Blue,31,2,4,1,2078.2719890229064,1687,1785.0,0.645,5959.693923650285,47.0,0.725,0.486
Attrited Customer,49.174659679460014,M,1,High School,Single,,Blue,26,4,6,2,3661.548660012592,2517,4832.0,0.877,1304.748013480721,29.0,0.714,0.342
Attrited Customer,68.31211774257977,F,4,Unknown,Married,Less than $40K,Blue,28,5,6,3,807.5831164788497,0,2020.0,0.716,1169.9719335021218,25.0,0.552,0.0
Attrited Customer,58.80581091470941,F,2,Unknown,Single,,Blue,45,3,7,3,1305.0945982455673,1560,1916.0,0.894,1064.7146855606113,31.0,0.871,0.449
Existing Customer,48.501297332290356,M,0,High School,Married,$80K - $120K,Blue,30,3,10,2,2379.802664356383,0,4252.0,0.478,710.2687258250121,19.0,0.324,0.0
Existing Customer,52.35515901789931,F,1,Graduate,Married,Less than $40K,Blue,36,3,7,1,1077.3665352556695,1281,1209.0,0.551,624.8445390106443,18.0,0.619,0.514
Attrited Customer,58.08041114930823,M,4,Graduate,Single,,Blue,28,2,6,4,1307.3275132501947,0,2979.0,0.644,681.9851486453807,22.0,0.462,0.0
Existing Customer,49.63730714123376,M,2,Unknown,Single,$80K - $120K,Blue,34,3,8,1,,2449,16661.0,1.0,1264.676296662095,28.0,0.727,0.128
Existing Customer,73.08505585959851,F,0,Graduate,Married,Less than $40K,Blue,53,4,11,1,1056.352186842461,2517,537.0,1.061,1537.0485671908393,29.0,0.647,0.824
Existing Customer,57.351385453042575,M,3,High School,Single,$80K - $120K,Blue,36,5,9,3,1362.5047913004246,0,3624.0,0.74,1203.312644932681,39.0,0.864,0.0
Existing Customer,68.43503237252818,F,3,Graduate,Single,,Blue,42,4,7,3,1776.3676569866395,1400,2949.0,0.641,1726.6770741195055,33.0,0.75,0.322
Existing Customer,71.42251476396373,M,0,Unknown_Education,Married,Less than $40K,Blue,51,5,8,4,612.1645881893216,1028,542.0,0.742,633.9813975376717,11.0,1.333,0.655
Attrited Customer,55.67876612747112,M,4,Graduate,Divorced,$40K - $60K,Blue,30,4,5,3,946.7447724843872,1138,1196.0,0.826,1060.3355427272952,16.0,0.714,0.488
Existing Customer,46.57095753615201,M,2,Unknown_Education,Unknown,$80K - $120K,Blue,22,2,7,3,11014.768226740363,1652,32864.0,0.854,490.0300410376824,22.0,1.294,0.048
Existing Customer,51.04163777367506,M,4,College,Married,$120K +,Silver,31,5,6,1,13826.58862097291,1254,33262.0,0.869,312.46601817525533,11.0,0.786,0.036
Attrited Customer,62.05667785167646,F,2,Graduate,Unknown,Less than $40K,Blue,40,2,5,3,1519.0512573180856,1705,1038.0,0.605,1680.2794095056574,44.0,0.54,0.622
Existing Customer,48.713749341769315,M,2,Graduate,Married,,Blue,33,5,6,3,4644.018680011581,2033,7587.0,0.667,439.1650589697149,24.0,0.387,0.211
Attrited Customer,85.15494425636359,F,3,Uneducated,Single,$40K - $60K,Blue,38,1,5,3,1456.744830918289,2283,372.0,0.751,817.378334673395,22.0,0.485,0.86
Attrited Customer,51.58431553881991,F,2,Graduate,Single,$40K - $60K,Blue,24,4,6,1,1689.6393506339205,1730,1645.0,0.514,1106.5680834137681,32.0,0.684,0.513
Existing Customer,59.668492251458225,F,2,High School,Single,,Blue,47,5,6,3,498.71221229759533,728,808.0,0.604,1664.9589180549658,34.0,0.529,0.474
Attrited Customer,51.212163703822846,M,1,Unknown_Education,Single,$60K - $80K,Silver,36,2,9,1,12298.852904207406,1437,32274.0,0.942,4556.138728399036,78.0,0.654,0.043
Attrited Customer,62.7425812881054,F,3,Unknown_Education,Single,Less than $40K,Blue,36,4,6,3,1557.1453819427202,986,2152.0,1.002,1795.854701952009,33.0,0.806,0.314
Attrited Customer,64.93513507743847,F,3,Doctorate,Unknown,Less than $40K,Blue,36,3,9,4,492.4094309934126,0,1438.3,0.499,511.3924104455934,23.0,0.29,0.0
Attrited Customer,50.44828881681134,F,3,High School,Married,,Blue,24,3,7,1,2010.8982355832986,1419,2008.0,0.685,1392.8351947014912,22.0,0.805,0.414
Existing Customer,58.97521957548884,M,2,Graduate,Single,$120K +,Blue,44,5,5,1,19912.325454678205,2174,32342.0,0.426,674.6546087259469,17.0,0.515,0.063
Attrited Customer,41.88038664373684,F,3,Graduate,Single,Less than $40K,Gold,31,2,6,2,8830.025313013877,1766,14221.0,0.791,2813.580757516949,35.0,0.679,0.11
Attrited Customer,55.36234999588638,M,3,Unknown,Married,$80K - $120K,Blue,22,3,7,4,,0,20543.0,0.547,672.1913108833696,22.0,0.615,0.0
Existing Customer,67.76755705535027,M,3,High School,Married,,Blue,43,6,6,4,1026.6017971955932,1580,660.0,0.745,310.5287823162354,17.0,0.8,0.705
Existing Customer,46.79533316282174,M,3,Unknown_Education,Divorced,,Blue,29,6,7,3,1179.4679538185833,2506,985.0,0.873,1432.6094273616804,41.0,0.58,0.718
Existing Customer,55.259663724072425,M,1,Graduate,Single,$80K - $120K,Blue,20,5,9,2,7715.2607984028755,925,12281.0,0.766,872.7001534080574,22.0,1.318,0.07
Existing Customer,66.02672737137948,F,4,Uneducated,Married,Unknown,Blue,38,6,4,2,,968,4398.0,0.992,1182.3367204734777,32.0,0.75,0.18
Existing Customer,57.56172471157758,F,2,High School,Married,Unknown,Blue,37,3,5,2,5043.982535622181,908,7538.0,0.604,1483.61540751948,35.0,0.763,0.108
Existing Customer,47.01864472215364,F,3,Uneducated,Single,Less than $40K,Blue,33,4,7,2,1413.618834368104,1917,1887.0,0.744,4647.255790832623,59.0,0.759,0.504
Existing Customer,56.54454290830229,M,1,Uneducated,Married,$80K - $120K,Blue,36,6,7,2,692.4605342655615,584,1186.0,0.706,1419.9086557013782,25.0,0.844,0.33
Attrited Customer,62.81321761525131,F,5,Graduate,Married,Less than $40K,Blue,40,4,7,2,1654.316881601032,2517,343.0,0.38,684.9750628009059,20.0,0.364,0.88
Attrited Customer,54.4137336382436,M,4,Post-Graduate,Single,$80K - $120K,Blue,32,5,9,2,9971.72938634064,1681,25029.0,0.741,3816.492516075265,47.0,0.746,0.063
Existing Customer,48.375924441967,F,3,Unknown_Education,Married,Less than $40K,Blue,37,3,6,2,676.5503153304822,765,673.3,0.644,1870.455956640036,21.0,0.692,0.532
Attrited Customer,51.89176257181698,F,2,Unknown,Married,Unknown,Blue,36,4,8,4,3310.98725517691,1474,6622.0,0.789,594.9426535232199,21.0,0.783,0.182
Attrited Customer,51.54320668492579,M,0,High School,Single,$60K - $80K,Blue,36,4,6,6,7373.857718563494,0,15699.0,0.569,503.1636821001824,20.0,0.6,0.0
Existing Customer,76.91623336109089,F,2,Uneducated,Unknown,Less than $40K,Blue,36,3,6,2,3622.023521939055,1825,6613.0,0.589,2381.091579891707,45.0,0.712,0.216
Existing Customer,60.375603246584944,M,3,Graduate,Divorced,$80K - $120K,Blue,38,3,6,1,2986.0717950223675,1385,7090.0,0.611,451.83933455214,20.0,0.481,0.163
Attrited Customer,64.9536974942614,M,4,Doctorate,Married,$80K - $120K,Blue,39,3,6,1,1805.1794419838184,1539,3567.0,0.907,1079.5895549023523,34.0,0.609,0.301
Attrited Customer,74.67587166862816,F,2,Unknown_Education,Married,Less than $40K,Blue,37,4,6,1,1532.817493585593,0,3378.0,0.58,1934.0883207545232,27.0,0.884,0.0
Existing Customer,67.47393184085428,F,5,High School,Married,$40K - $60K,Blue,33,6,6,2,816.2035583466878,1549,957.0,0.752,1641.6735306742319,35.0,0.936,0.618
Attrited Customer,51.361439029069516,M,2,High School,Single,$40K - $60K,Blue,31,5,7,1,706.2049323782402,0,2197.0,0.921,1440.0237829208625,29.0,0.641,0.0
Attrited Customer,60.54271021204667,M,2,Graduate,Married,$60K - $80K,Blue,36,5,9,1,2023.1548262540534,1117,4833.0,0.57,1233.2387364127073,27.0,0.679,0.188
Existing Customer,62.54751765228963,M,3,Unknown_Education,Unknown,$120K +,Blue,41,6,7,2,,1151,4992.0,0.866,1538.3906379140649,35.0,0.895,0.187
Attrited Customer,80.52833292434734,M,0,High School,Married,,Blue,56,3,6,3,1405.5581474020823,1495,1757.0,0.581,501.1509420884723,7.0,0.875,0.46
Attrited Customer,45.145439921749386,M,2,Graduate,Unknown,$80K - $120K,Blue,28,3,8,3,,0,12222.0,0.861,1457.8345970132166,30.0,0.537,0.0
Attrited Customer,61.38826001927897,M,3,College,Single,$80K - $120K,Silver,38,3,9,1,14570.03495094508,1278,33238.0,0.51,1233.90843046736,32.0,0.622,0.037
Existing Customer,74.19402214826204,F,5,Uneducated,Single,Less than $40K,Blue,33,4,9,3,1617.646217517995,1377,1460.0,0.564,1398.602936900376,22.0,0.8,0.485
Existing Customer,61.2517668257221,F,2,High School,Single,$40K - $60K,Blue,36,1,8,2,,1093,1447.0,0.783,4068.7464242308088,32.0,0.737,0.43
Attrited Customer,52.934759922558605,M,3,High School,Single,Less than $40K,Blue,29,4,6,2,1508.3369579444168,1985,781.0,0.796,2215.2347345000294,41.0,0.75,0.718
Existing Customer,64.59750711874227,M,4,Uneducated,Married,$60K - $80K,Blue,34,5,9,2,6078.365228559862,904,12090.0,0.627,1169.5552566252982,24.0,0.85,0.07
Existing Customer,58.29754003351139,M,2,Uneducated,Married,$40K - $60K,Blue,39,2,7,2,1258.801893992015,0,3471.0,0.871,6802.478813903647,36.0,0.742,0.0
Existing Customer,75.62478633036537,F,2,Doctorate,Single,Unknown,Blue,49,3,7,2,,0,4500.0,0.761,2286.3918029363786,33.0,0.814,0.0
Existing Customer,67.88184690334512,F,2,High School,Single,,Blue,41,4,5,2,1203.172711956966,1811,441.0,0.68,1765.1955394454249,41.0,1.125,0.804
Existing Customer,49.23008008766952,F,4,Graduate,Single,Less than $40K,Blue,24,3,7,1,695.284815483374,1393,676.0,0.875,1499.592877607259,38.0,0.75,0.673
Existing Customer,48.986425062051566,M,5,College,Single,$60K - $80K,Blue,25,4,8,0,,1118,4479.0,0.753,2073.1408598600333,34.0,0.648,0.2
Attrited Customer,73.8918964330298,M,2,Uneducated,Married,$60K - $80K,Blue,47,4,9,1,1648.3363234513417,1970,3130.0,0.371,487.13460734756916,15.0,0.368,0.386
Existing Customer,72.11298960069674,F,3,Graduate,Divorced,Unknown,Blue,36,1,6,2,2085.8659353570024,0,3515.0,0.876,6871.152162995578,57.0,0.841,0.0
Existing Customer,58.114500002955154,F,4,Unknown_Education,Married,Less than $40K,Blue,42,4,4,4,1197.7693022795868,1263,1210.0,0.71,932.5665118476643,45.0,0.6,0.511
Attrited Customer,54.77803657204769,F,1,Unknown,Married,Less than $40K,Blue,31,5,6,1,3274.6244228810287,868,4846.0,0.636,1850.4280307580545,26.0,0.7,0.152
Existing Customer,35.08506479534046,M,4,Unknown,Married,,Blue,35,4,8,3,1723.0888381627074,0,3497.0,0.696,1834.6464189696715,22.0,0.756,0.0
Existing Customer,52.29388910037265,M,3,Graduate,Married,Less than $40K,Blue,36,2,5,1,,974,5179.0,0.703,1829.4347893978486,53.0,0.586,0.158
Existing Customer,55.90921685176288,M,1,Graduate,Single,,Blue,36,1,8,1,1318.1837223305617,2152,602.0,0.821,5343.496487817566,64.0,0.761,0.781
Attrited Customer,70.61479908620835,F,3,Graduate,Married,Unknown,Blue,39,3,7,2,2422.811092893223,1771,2402.0,0.711,1200.7867238159465,28.0,0.516,0.424
Existing Customer,56.37526824469041,M,3,College,Unknown,$80K - $120K,Blue,39,3,6,1,12194.316117070122,1662,23188.0,0.693,334.97602456656085,12.0,0.923,0.067
Existing Customer,54.5011199702929,M,3,Post-Graduate,Single,$60K - $80K,Blue,36,5,6,3,2637.2776250024654,1996,3066.0,0.591,271.0046149661078,20.0,0.429,0.394
Existing Customer,45.43461381244725,F,1,High School,Single,,Blue,36,5,8,4,1588.1624701746928,1572,3685.0,0.732,940.3061962525253,27.0,0.659,0.299
Attrited Customer,63.824273145216175,F,1,High School,Single,Less than $40K,Blue,40,2,7,1,2093.561791847999,2517,1602.0,0.754,5918.070651273369,61.0,0.862,0.611
Attrited Customer,45.05363979898687,F,0,Post-Graduate,Single,Less than $40K,Blue,36,5,8,3,2783.1022405268413,1223,3853.0,0.83,593.196159727314,31.0,0.629,0.241
Attrited Customer,48.671773378904376,M,1,Graduate,Single,Unknown,Blue,32,4,5,3,2366.899436325187,2007,2390.0,0.892,1178.5439822510937,24.0,1.136,0.456
Existing Customer,49.496622262366095,M,3,Unknown_Education,Single,,Blue,34,5,7,1,5179.468059954672,708,8289.0,0.586,1828.9986274184198,36.0,0.676,0.079
Existing Customer,74.48774432392108,M,2,Graduate,Single,Less than $40K,Blue,39,3,8,3,1466.7259837241884,0,3451.0,0.744,1446.6066758067218,20.0,0.676,0.0
Attrited Customer,49.325754629088486,F,4,College,Married,Less than $40K,Blue,31,3,6,4,894.7229208798628,1011,1922.0,0.814,1342.7019608475416,36.0,0.868,0.345
Existing Customer,64.9035329928389,M,3,Uneducated,Married,$60K - $80K,Blue,42,2,11,1,640.7054093316347,0,1438.3,0.895,1905.9978647153814,46.0,0.841,0.0
Attrited Customer,40.75734367878745,M,2,Unknown_Education,Single,,Blue,34,2,9,3,1889.2899466542738,1035,3582.0,0.36,858.601936106843,14.0,0.591,0.224
Attrited Customer,61.9646332384956,F,2,Unknown_Education,Single,Less than $40K,Blue,34,2,7,1,793.1784309440825,0,1438.3,0.74,1120.0323322518293,45.0,1.025,0.0
Attrited Customer,41.75559302241551,F,2,Graduate,Single,$40K - $60K,Blue,34,5,8,4,1923.8000963253526,0,5858.0,0.853,1530.9322274374979,45.0,0.604,0.0
Existing Customer,44.800061022368965,F,3,Unknown_Education,Single,Less than $40K,Blue,33,2,4,2,829.3296583613111,0,1621.0,0.779,1676.442127057539,32.0,0.686,0.0
Attrited Customer,42.8404848598739,M,3,Unknown,Married,$60K - $80K,Blue,27,6,7,4,3398.6657914393686,2312,6714.0,0.561,573.1260286605367,21.0,0.762,0.256
Existing Customer,37.18722050925285,M,2,Unknown_Education,Married,$80K - $120K,Blue,22,3,7,4,,1435,1588.0,0.62,512.9893412827157,10.0,0.619,0.475
Existing Customer,58.23141278447436,M,3,High School,Married,$60K - $80K,Blue,28,2,8,3,5421.651450035776,2517,10935.0,0.781,3518.179562999967,24.0,0.917,0.187
Attrited Customer,49.095819210563945,M,3,Unknown_Education,Married,$80K - $120K,Blue,36,5,8,2,11365.794041636796,1832,18539.0,0.907,398.33676134291096,14.0,0.8,0.09
Existing Customer,60.16474385488192,F,2,Graduate,Married,$40K - $60K,Blue,40,1,7,3,1081.4221914908533,865,2727.0,0.663,5764.438859871405,50.0,0.727,0.241
Attrited Customer,49.31727525294801,F,3,High School,Unknown,Unknown,Blue,34,1,9,1,1660.079159859353,1049,1749.0,0.89,1552.779046475236,39.0,0.706,0.375
Attrited Customer,63.686562573339174,F,0,Graduate,Single,Less than $40K,Blue,56,5,9,3,614.7619150607777,1531,400.0,0.778,891.0860037019096,26.0,0.714,0.793
Attrited Customer,59.27653538498857,F,3,Graduate,Married,Less than $40K,Blue,40,6,5,2,1008.5737170758161,2002,230.0,1.107,1435.0005333504514,37.0,0.511,0.897
Attrited Customer,47.44837706110791,M,1,Unknown,Married,$40K - $60K,Blue,18,5,5,3,1931.740985843405,1380,3346.0,0.622,461.2592863845266,10.0,0.55,0.292
Attrited Customer,60.77523192813315,M,3,Unknown_Education,Single,$40K - $60K,Blue,33,3,7,2,1341.5700975069615,2123,354.0,0.699,2051.471285746224,27.0,0.725,0.857
Attrited Customer,65.72398666963039,M,3,Uneducated,Divorced,$60K - $80K,Blue,34,4,6,0,5895.045155305036,713,10788.0,0.84,614.3039551531099,14.0,0.519,0.062
Existing Customer,59.61918284133017,F,1,Graduate,Single,Less than $40K,Blue,41,6,6,3,522.7600074660263,0,1438.3,0.53,1502.9923868635503,38.0,1.05,0.0
Existing Customer,62.370856914190355,F,1,Unknown_Education,Divorced,,Blue,38,3,6,2,2720.8730388426716,0,4668.0,0.896,1835.3489629664,43.0,0.453,0.0
Attrited Customer,62.09851701843913,F,2,Graduate,Single,Less than $40K,Blue,43,5,7,2,,787,651.3,0.737,1569.0544590643506,24.0,0.756,0.547
Attrited Customer,44.6092296329976,F,4,College,Married,$40K - $60K,Blue,37,3,8,1,,0,4139.0,0.547,538.3288638387362,21.0,0.464,0.0
Existing Customer,55.27688827610803,F,1,Graduate,Married,Less than $40K,Blue,36,4,6,1,,0,8322.0,0.86,1044.7923248232144,28.0,1.0,0.0
Existing Customer,56.660585884354965,M,2,High School,Single,,Blue,42,3,5,4,12225.347835065795,1190,19954.0,0.5,1001.8793189269265,21.0,0.784,0.056
Attrited Customer,66.38293786057913,F,3,Graduate,Married,Less than $40K,Blue,47,4,6,2,893.0187910436131,751,811.0,0.925,1262.8285991703522,47.0,0.976,0.481
Existing Customer,54.75342954553426,M,5,Unknown,Single,$60K - $80K,Blue,36,2,6,0,1371.6156047502227,0,3862.0,0.807,6760.527414259739,51.0,0.712,0.0
Existing Customer,64.85108018767974,F,3,Unknown_Education,Single,Less than $40K,Blue,46,6,7,1,1127.1599851037488,1499,1428.0,0.649,2076.527429352594,39.0,0.944,0.512
Existing Customer,55.64375334991867,F,4,High School,Married,$40K - $60K,Blue,27,5,8,2,1059.99520918558,2182,640.0,0.768,2405.5631614365825,35.0,0.824,0.773
Existing Customer,57.606075837971304,M,3,Post-Graduate,Married,$40K - $60K,Blue,30,2,7,2,1514.6683028477069,1673,2148.0,0.869,5120.336785885816,27.0,0.712,0.438
Attrited Customer,71.0572497742804,F,0,Graduate,Married,Less than $40K,Blue,56,3,8,3,649.6004866643542,554,1568.0,0.857,255.98438544346533,9.0,0.133,0.261
Existing Customer,69.09839689968301,M,2,Graduate,Single,$120K +,Blue,47,2,9,1,5314.965815599491,865,15393.0,0.623,1232.7899453762805,34.0,0.657,0.053
Existing Customer,62.51412362314788,M,4,Unknown_Education,Married,$80K - $120K,Blue,33,1,6,2,1959.5211937050537,2115,2848.0,0.767,1433.0944781335736,39.0,0.696,0.426
Existing Customer,63.84181420599442,F,3,College,Single,$40K - $60K,Blue,37,6,6,1,,0,1438.3,0.777,1992.3222601106233,35.0,0.767,0.0
Existing Customer,51.595732716357396,F,3,Unknown,Single,Unknown,Blue,30,3,6,2,4369.962154246641,0,9293.0,0.897,503.1736671518631,25.0,1.034,0.0
Attrited Customer,52.68609465892358,M,4,Unknown_Education,Unknown,$40K - $60K,Blue,32,3,5,1,444.84958783233753,0,1438.3,0.657,1284.5419746014488,32.0,0.927,0.0
Attrited Customer,70.60840020043153,F,2,Unknown_Education,Married,,Blue,50,3,6,3,5697.882347511332,0,12362.0,0.635,2097.951291601694,33.0,0.636,0.0
Existing Customer,59.39071687295435,F,2,Unknown_Education,Single,,Blue,24,6,9,3,1410.6935149147812,2010,1085.0,0.668,1766.6804801302412,38.0,0.711,0.649
Existing Customer,51.71959840796272,F,2,Graduate,Married,,Blue,28,6,7,3,2063.62933015131,2266,1748.0,0.718,5395.131842418333,37.0,0.958,0.565
Attrited Customer,51.3261215123423,F,3,College,Single,Less than $40K,Blue,25,6,7,2,,2008,1912.0,0.944,943.7644560458112,17.0,0.656,0.512
Existing Customer,55.265957775484665,M,2,High School,Single,$60K - $80K,Blue,40,4,7,3,,1720,15935.0,0.706,6995.095510585161,61.0,0.739,0.097
Existing Customer,65.34814472582767,M,2,High School,Single,$120K +,Blue,49,6,9,4,1493.0635273992893,1505,1524.0,0.56,1073.7182295805662,17.0,0.471,0.497
